FIRST_NAME,LAST_NAME,PARTY,STATE,ADDRESS,PHONE
Mary,Landrieu,D,LA,703 Hart Senate Office Building,202-224-5824
Pat,Leahy,D,VT,437 Russell Senate Office Building,202-224-4242
Mike,Lee,R,UT,316 Hart Senate Office Building,202-224-5444
Carl,Levin,D,MI,269 Russell Senate Office Building,202-224-6221
Joe,Manchin,D,WV,306 Hart Senate Office Building,202-224-3954
Ed,Markey,D,MA,218 Russell Senate Office Building,202-224-2742
John,McCain,R,AZ,241 Russell Senate Office Building,202-224-2235
Claire,McCaskill,D,MO,506 Hart Senate Office Building,202-224-6154
Mitch,McConnell,R,KY,317 Russell Senate Office Building,202-224-2541
Robert,Menendez,D,NJ,528 Hart Senate Office Building,202-224-4744
Jeff,Merkley,D,OR,313 Hart Senate Office Building,202-224-3753
Barbara,Mikulski,D,MD,503 Hart Senate Office Building,202-224-4654
Jerry,Moran,R,KS,361A Russell Senate Office Building,202-224-6521
Lisa,Murkowski,R,AK,709 Hart Senate Office Building,202-224-6665
Chris,Murphy,D,CT,303 Hart Senate Office Building,202-224-4041
Patty,Murray,D,WA,154 Russell Senate Office Building,202-224-2621
Bill,Nelson,D,FL,716 Hart Senate Office Building,202-224-5274
Rand,Paul,R,KY,124 Russell Senate Office Building,202-224-4343
Rob,Portman,R,OH,448 Russell Senate Office Building,202-224-3353
Mark,Pryor,D,AR,255 Dirksen Senate Office Building,202-224-2353
Jack,Reed,D,RI,728 Hart Senate Office Building,202-224-4642
Harry,Reid,D,NV,522 Hart Senate Office Building,202-224-3542
Jim,Risch,R,ID,483 Russell Senate Office Building,202-224-2752
Pat,Roberts,R,KS,109 Hart Senate Office Building,202-224-4774
Jay,Rockefeller,D,WV,531 Hart Senate Office Building,202-224-6472
Marco,Rubio,R,FL,284 Russell Senate Office Building,202-224-3041
Bernie,Sanders,I,VT,332 Dirsken Office Building,202-224-5141
Brian,Schatz,D,HI,722 Hart Senate Office Building,202-224-3934
Chuck,Schumer,D,NY,322 Hart Senate Office Building,202-224-6542
Tim,Scott,R,SC,167 Russell Senate Office Building,202-224-6121
Jeff,Sessions,R,AL,326 Russell Senate Office Building,202-224-4124
Jeanne,Shaheen,D,NH,520 Hart Senate Office Building,202-224-2841
Richard,Shelby,R,AL,304 Russell Senate Office Building,202-224-5744
Debbie,Stabenow,D,MI,133 Hart Senate Office Building,202-224-4822
Jon,Tester,D,MT,706 Hart Senate Office Building,202-224-2644
John,Thune,R,SD,511 Dirksen Senate Office Building,202-224-2321
Pat,Toomey,R,PA,248 Russell Senate Office Building,202-224-4254
Mark,Udall,D,CO,730 Hart Senate Office Building,202-224-5941
Tom,Udall,D,NM,110 Hart Senate Office Building,202-224-6621
Dave,Vitter,R,LA,516 Hart Senate Office Building,202-224-4623
Mark,Warner,D,VA,475 Russell Senate Office Building,202-224-2023
Elizabeth,Warren,D,MA,317 Hart Senate Office Building,202-224-4543
Sheldon,Whitehouse,D,RI,530 Hart Senate Office Building,202-224-2921
Roger,Wicker,R,MS,555 Dirksen Senate Office Building,202-224-6253
Ron,Wyden,D,OR,221 Dirksen Senate Office Building,202-224-5244
